City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuktoyaktuk,99,CA,1670385689,82,69.4541,-133.0374,-14.93,10.4
1,barrow,100,US,1670385477,91,71.2906,-156.7887,8.73,17.98
2,busselton,1,AU,1670385690,33,-33.65,115.3333,75.42,1.63
3,mazatlan,20,MX,1670385676,96,23.2167,-106.4167,75.02,1.99
4,redmond,100,US,1670385643,93,47.674,-122.1215,43.9,1.99
5,lebu,50,CL,1670385690,80,-37.6167,-73.65,56.97,1.77
6,aksarka,100,RU,1670385691,89,66.5606,67.7975,7.11,11.7
7,robertsport,8,LR,1670385691,83,6.7533,-11.3686,78.96,3.56
8,tiksi,100,RU,1670385691,100,71.6872,128.8694,-28.46,4.59
9,sarangani,16,PH,1670385692,75,5.4033,125.4636,82.0,12.93
10,werda,9,BW,1670385692,67,-25.2667,23.2833,70.21,15.88
11,avarua,20,CK,1670385519,88,-21.2078,-159.775,77.05,11.5
12,yellowknife,75,CA,1670385515,68,62.456,-114.3525,-28.68,4.61
13,iqaluit,70,CA,1670385693,95,63.7506,-68.5145,-0.33,5.3
14,butaritari,99,KI,1670385693,79,3.0707,172.7902,80.62,11.01
15,baykit,100,RU,1670385694,89,61.67,96.37,14.45,10.98
16,ilulissat,100,GL,1670385694,74,69.2167,-51.1,32.02,19.57
17,rikitea,9,PF,1670385519,81,-23.1203,-134.9692,75.43,20.47
18,olafsvik,94,IS,1670385533,76,64.8945,-23.7142,38.79,5.61
19,qaanaaq,100,GL,1670385695,95,77.484,-69.3632,28.56,12.5
20,hermanus,0,ZA,1670385695,67,-34.4187,19.2345,60.46,3.56
21,bhuban,39,IN,1670385695,31,20.8833,85.8333,74.01,2.89
22,warrington,71,GB,1670385696,90,53.3925,-2.5802,35.28,3.56
23,narsaq,85,GL,1670385696,95,60.9167,-46.05,32.22,5.35
24,dali,1,CN,1670385697,40,25.7,100.1833,59.02,3.78
25,grand river south east,89,US,1670385698,56,38.8755,-109.5012,36.03,2.77
26,saldanha,0,ZA,1670385698,84,-33.0117,17.9442,59.61,3.06
27,punta arenas,84,PH,1670385698,66,8.9897,125.34,83.84,5.59
28,marystown,75,CA,1670385699,90,47.1666,-55.1483,37.35,13.09
29,afua,96,BR,1670385699,93,-0.1567,-50.3867,74.71,5.7
30,mahebourg,75,MU,1670385570,83,-20.4081,57.7,80.26,12.66
31,kapaa,100,US,1670385700,89,22.0752,-159.319,78.78,7.0
32,bluff,45,NZ,1670385485,61,-46.6,168.3333,63.81,20.33
33,san miguel el alto,14,ML,1670385571,21,13.3034,-4.8956,76.87,8.48
34,heihe,84,CN,1670385700,89,50.2441,127.4902,-1.62,2.57
35,ushuaia,75,AR,1670385572,56,-54.8,-68.3,38.86,3.44
36,vaini,83,TO,1670385701,81,-21.2,-175.2,79.54,6.26
37,thompson,20,CA,1670385701,69,55.7435,-97.8558,-20.04,9.22
38,portland,100,US,1670385075,91,45.5234,-122.6762,42.48,1.01
39,aguimes,0,ES,1670385702,68,27.9054,-15.4461,64.65,4.61
40,prince george,44,CA,1670385702,100,52.9669,-108.3847,-27.53,4.29
41,nanortalik,100,GL,1670385702,98,60.1432,-45.2371,35.33,5.14
42,huarmey,69,PE,1670385703,87,-10.0681,-78.1522,65.75,6.55
43,canico,75,PT,1670385703,92,32.6333,-16.85,69.01,6.91
44,nikolskoye,100,RU,1670385704,92,59.7035,30.7861,22.91,9.48
45,gat,8,IL,1670385704,84,31.61,34.7642,59.4,5.79
46,tabou,80,CI,1670385704,87,4.423,-7.3528,77.16,6.06
47,atuona,37,PF,1670385705,81,-9.8,-139.0333,76.78,14.97
48,tadine,100,NC,1670385158,86,-21.55,167.8833,78.06,7.9
49,esperance,37,AU,1670385705,48,-33.8667,121.9,66.07,15.52
50,hobart,75,AU,1670385572,65,-42.8794,147.3294,63.23,18.41
51,chokurdakh,100,RU,1670385706,97,70.6333,147.9167,-5.57,2.53
52,inuvik,100,CA,1670385706,83,68.3499,-133.7218,-8.77,5.35
53,provideniya,40,RU,1670385707,74,64.3833,-173.3,26.71,18.01
54,pierre,88,US,1670385707,73,44.3683,-100.351,17.85,15.01
55,hegra,75,NO,1670385707,93,63.4644,11.114,28.31,18.41
56,samarai,98,PG,1670385708,70,-10.6167,150.6667,84.42,9.8
57,poum,84,NC,1670385708,79,-20.2333,164.0167,80.74,8.16
58,chernivtsi,80,UA,1670385489,95,48.2915,25.9403,34.59,1.92
59,port alfred,100,CD,1670385709,72,-7.0349,29.7638,70.77,4.27
60,daru,100,PG,1670385201,59,-9.0763,143.2092,85.17,8.5
61,pontianak,75,ID,1670385709,70,-0.0333,109.3333,87.78,4.61
62,bethel,100,US,1670385709,87,41.3712,-73.414,55.49,1.01
63,albany,100,US,1670385541,93,42.6001,-73.9662,52.95,7.0
64,puerto ayora,20,ES,1670385710,98,36.5939,-6.233,53.74,5.75
65,leningradskiy,5,RU,1670385710,96,69.3833,178.4167,-5.76,4.74
66,kodiak,90,US,1670385651,80,57.79,-152.4072,34.29,15.26
67,port moresby,100,CD,1670385172,72,-7.0349,29.7638,70.77,4.27
68,krasnoselkup,98,RU,1670385711,96,65.7,82.4667,2.1,13.4
69,maryville,100,US,1670385711,99,35.7565,-83.9705,56.01,0.0
70,havre-saint-pierre,100,CA,1670385596,86,50.2334,-63.5986,35.6,10.36
71,sorsk,16,RU,1670385712,85,54.0033,90.2467,0.01,2.42
72,lompoc,0,US,1670385240,92,34.6391,-120.4579,50.77,0.0
73,faanui,20,PF,1670385713,75,-16.4833,-151.75,80.44,17.29
74,berlevag,100,NO,1670385486,87,70.8578,29.0864,35.55,13.8
75,grand baie,89,US,1670385713,56,38.8755,-109.5012,36.03,2.77
76,port elizabeth,100,CD,1670385494,72,-7.0349,29.7638,70.77,4.27
77,mar del plata,100,ES,1670385714,91,43.4002,-4.0094,53.02,2.3
78,mataura,8,NZ,1670385714,37,-46.1927,168.8643,63.48,8.41
79,catamarca,5,AR,1670385158,36,-28.4696,-65.7852,88.07,10.58
80,arraial do cabo,100,BR,1670385715,99,-22.8362,-46.646,65.66,5.48
81,hilo,98,US,1670385509,98,19.7297,-155.09,76.28,3.0
82,biltine,0,TD,1670385715,23,14.5333,20.9167,63.46,13.29
83,new norfolk,20,LR,1670385716,97,6.6518,-10.5932,73.4,1.36
84,sur,0,OM,1670385716,49,22.5667,59.5289,74.82,3.24
85,taltal,52,CL,1670385509,84,-25.4,-70.4833,63.41,0.83
86,mys shmidta,100,RU,1670385717,87,62.0589,48.6201,17.01,8.79
